# TEST CONFIGURATION BEGIN
# FileStream(filename='airlines.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 1] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=1, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 1] Adaptive4(learning_rate=0.2, max_depth=1, max_window_size=1000, min_window_size=1)
# [ensemble 5] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=5, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 5] Adaptive4(learning_rate=0.2, max_depth=5, max_window_size=1000, min_window_size=1)
# [ensemble 10] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=10, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 10] Adaptive4(learning_rate=0.2, max_depth=10, max_window_size=1000, min_window_size=1)
# [ensemble 15] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=15, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 15] Adaptive4(learning_rate=0.2, max_depth=15, max_window_size=1000, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='max_depth.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 1],current_acc_[ensemble 1],mean_acc_[incremental 1],current_acc_[incremental 1],mean_acc_[ensemble 5],current_acc_[ensemble 5],mean_acc_[incremental 5],current_acc_[incremental 5],mean_acc_[ensemble 10],current_acc_[ensemble 10],mean_acc_[incremental 10],current_acc_[incremental 10],mean_acc_[ensemble 15],current_acc_[ensemble 15],mean_acc_[incremental 15],current_acc_[incremental 15],training_time_[ensemble 1],testing_time_[ensemble 1],total_running_time_[ensemble 1],training_time_[incremental 1],testing_time_[incremental 1],total_running_time_[incremental 1],training_time_[ensemble 5],testing_time_[ensemble 5],total_running_time_[ensemble 5],training_time_[incremental 5],testing_time_[incremental 5],total_running_time_[incremental 5],training_time_[ensemble 10],testing_time_[ensemble 10],total_running_time_[ensemble 10],training_time_[incremental 10],testing_time_[incremental 10],total_running_time_[incremental 10],training_time_[ensemble 15],testing_time_[ensemble 15],total_running_time_[ensemble 15],training_time_[incremental 15],testing_time_[incremental 15],total_running_time_[incremental 15]
100020,0.428571,0.428571,0.476190,0.476190,0.523810,0.523810,0.333333,0.333333,0.476190,0.476190,0.428571,0.428571,0.428571,0.428571,0.476190,0.476190,1.298203,0.031104,1.329307,2.158647,0.002038,2.160685,1.323828,0.029048,1.352876,3.761516,0.002036,3.763552,1.403186,0.027543,1.430729,8.239283,0.002288,8.241571,1.428672,0.026697,1.455369,9.308655,0.002423,9.311078
100021,0.454545,0.454545,0.500000,0.500000,0.545455,0.545455,0.318182,0.318182,0.454545,0.454545,0.454545,0.454545,0.454545,0.454545,0.500000,0.500000,1.298227,0.032368,1.330595,2.158662,0.002117,2.160779,1.323841,0.030235,1.354076,3.761528,0.002123,3.763651,1.403198,0.028714,1.431912,8.239294,0.002398,8.241693,1.428684,0.027873,1.456556,9.308667,0.002523,9.311190
100022,0.434783,0.434783,0.478261,0.478261,0.521739,0.521739,0.304348,0.304348,0.434783,0.434783,0.434783,0.434783,0.434783,0.434783,0.521739,0.521739,1.301954,0.033596,1.335550,2.320386,0.002200,2.322586,1.328180,0.031414,1.359593,3.922538,0.002207,3.924745,1.408205,0.029868,1.438073,8.397933,0.002498,8.400431,1.434403,0.029197,1.463600,9.467225,0.002630,9.469855
100023,0.458333,0.458333,0.500000,0.500000,0.500000,0.500000,0.333333,0.333333,0.458333,0.458333,0.458333,0.458333,0.458333,0.458333,0.541667,0.541667,1.301975,0.035247,1.337222,2.320397,0.002354,2.322751,1.328189,0.032934,1.361123,3.922546,0.002359,3.924904,1.408213,0.031475,1.439689,8.397941,0.002656,8.400597,1.434411,0.030731,1.465142,9.467233,0.002785,9.470018
100024,0.480000,0.480000,0.520000,0.520000,0.480000,0.480000,0.360000,0.360000,0.480000,0.480000,0.480000,0.480000,0.440000,0.440000,0.560000,0.560000,1.301993,0.036503,1.338496,2.320407,0.002468,2.322875,1.328196,0.034132,1.362328,3.922553,0.002465,3.925018,1.408220,0.032837,1.441057,8.397948,0.002781,8.400729,1.434418,0.031917,1.466336,9.467241,0.002891,9.470131
100025,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.346154,0.346154,0.500000,0.500000,0.461538,0.461538,0.461538,0.461538,0.538462,0.538462,1.302015,0.038040,1.340055,2.320418,0.002590,2.323008,1.328205,0.035349,1.363554,3.922561,0.002575,3.925136,1.408230,0.034045,1.442275,8.397956,0.002888,8.400844,1.434426,0.033173,1.467599,9.467249,0.003014,9.470262
100026,0.481481,0.481481,0.518519,0.518519,0.481481,0.481481,0.370370,0.370370,0.481481,0.481481,0.481481,0.481481,0.444444,0.444444,0.555556,0.555556,1.302032,0.039351,1.341383,2.320429,0.002704,2.323133,1.328213,0.036525,1.364738,3.922572,0.002689,3.925261,1.408237,0.035202,1.443439,8.397963,0.002997,8.400960,1.434433,0.034331,1.468764,9.467256,0.003124,9.470381
100027,0.464286,0.464286,0.535714,0.535714,0.500000,0.500000,0.392857,0.392857,0.500000,0.500000,0.500000,0.500000,0.428571,0.428571,0.571429,0.571429,1.302052,0.040775,1.342827,2.320439,0.002839,2.323278,1.328221,0.038138,1.366359,3.922579,0.002824,3.925403,1.408244,0.036555,1.444799,8.397970,0.003122,8.401093,1.434440,0.035641,1.470081,9.467264,0.003268,9.470533
100028,0.448276,0.448276,0.517241,0.517241,0.517241,0.517241,0.379310,0.379310,0.517241,0.517241,0.482759,0.482759,0.413793,0.413793,0.551724,0.551724,1.302071,0.042008,1.344079,2.320450,0.002957,2.323407,1.328230,0.039310,1.367540,3.922587,0.002934,3.925520,1.408251,0.037812,1.446063,8.397978,0.003242,8.401220,1.434447,0.036899,1.471346,9.467272,0.003378,9.470650
100029,0.433333,0.433333,0.500000,0.500000,0.500000,0.500000,0.366667,0.366667,0.533333,0.533333,0.466667,0.466667,0.400000,0.400000,0.533333,0.533333,1.302090,0.043260,1.345350,2.320461,0.003096,2.323557,1.328238,0.040577,1.368815,3.922594,0.003049,3.925643,1.408259,0.039003,1.447262,8.397985,0.003387,8.401372,1.434455,0.038091,1.472546,9.467280,0.003491,9.470771
