# TEST CONFIGURATION BEGIN
# FileStream(filename='airlines.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 512] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=512, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 512] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=512, min_window_size=1)
# [ensemble 1024] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1024, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 1024] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=1024, min_window_size=1)
# [ensemble 2048] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=2048, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 2048] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=2048, min_window_size=1)
# [ensemble 4096] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=4096, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 4096] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=4096, min_window_size=1)
# [ensemble 8192] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=8192, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 8192] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=8192, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='mwindow_airlines.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 512],current_acc_[ensemble 512],mean_acc_[incremental 512],current_acc_[incremental 512],mean_acc_[ensemble 1024],current_acc_[ensemble 1024],mean_acc_[incremental 1024],current_acc_[incremental 1024],mean_acc_[ensemble 2048],current_acc_[ensemble 2048],mean_acc_[incremental 2048],current_acc_[incremental 2048],mean_acc_[ensemble 4096],current_acc_[ensemble 4096],mean_acc_[incremental 4096],current_acc_[incremental 4096],mean_acc_[ensemble 8192],current_acc_[ensemble 8192],mean_acc_[incremental 8192],current_acc_[incremental 8192],training_time_[ensemble 512],testing_time_[ensemble 512],total_running_time_[ensemble 512],training_time_[incremental 512],testing_time_[incremental 512],total_running_time_[incremental 512],training_time_[ensemble 1024],testing_time_[ensemble 1024],total_running_time_[ensemble 1024],training_time_[incremental 1024],testing_time_[incremental 1024],total_running_time_[incremental 1024],training_time_[ensemble 2048],testing_time_[ensemble 2048],total_running_time_[ensemble 2048],training_time_[incremental 2048],testing_time_[incremental 2048],total_running_time_[incremental 2048],training_time_[ensemble 4096],testing_time_[ensemble 4096],total_running_time_[ensemble 4096],training_time_[incremental 4096],testing_time_[incremental 4096],total_running_time_[incremental 4096],training_time_[ensemble 8192],testing_time_[ensemble 8192],total_running_time_[ensemble 8192],training_time_[incremental 8192],testing_time_[incremental 8192],total_running_time_[incremental 8192]
100020,0.428571,0.428571,0.428571,0.428571,0.380952,0.380952,0.523810,0.523810,0.428571,0.428571,0.380952,0.380952,0.428571,0.428571,0.428571,0.428571,0.523810,0.523810,0.523810,0.523810,1.720953,0.028272,1.749225,11.735650,0.002443,11.738093,1.369513,0.026434,1.395947,4.716923,0.002031,4.718954,1.310183,0.026136,1.336319,2.410167,0.001822,2.411989,1.388876,0.026828,1.415705,1.783629,0.001723,1.785352,1.840782,0.021203,1.861985,2.007737,0.001674,2.009411
100021,0.454545,0.454545,0.409091,0.409091,0.409091,0.409091,0.545455,0.545455,0.409091,0.409091,0.363636,0.363636,0.454545,0.454545,0.454545,0.454545,0.545455,0.545455,0.545455,0.545455,1.720975,0.029501,1.750476,11.735661,0.002619,11.738280,1.369528,0.027667,1.397195,4.716936,0.002117,4.719053,1.310199,0.027297,1.337496,2.410182,0.001901,2.412084,1.388893,0.027990,1.416884,1.783643,0.001797,1.785440,1.840797,0.022116,1.862913,2.007754,0.001744,2.009498
100022,0.434783,0.434783,0.391304,0.391304,0.391304,0.391304,0.521739,0.521739,0.434783,0.434783,0.391304,0.391304,0.434783,0.434783,0.434783,0.434783,0.521739,0.521739,0.521739,0.521739,1.720992,0.030708,1.751700,11.735671,0.002721,11.738392,1.369542,0.028814,1.398356,4.716947,0.002196,4.719143,1.310214,0.028447,1.338661,2.410197,0.001976,2.412173,1.388907,0.029120,1.418027,1.783657,0.001868,1.785526,1.840811,0.023039,1.863850,2.007768,0.001816,2.009584
100023,0.458333,0.458333,0.416667,0.416667,0.375000,0.375000,0.541667,0.541667,0.458333,0.458333,0.416667,0.416667,0.458333,0.458333,0.458333,0.458333,0.541667,0.541667,0.541667,0.541667,1.721012,0.032215,1.753227,11.735682,0.002831,11.738513,1.369557,0.029961,1.399518,4.716959,0.002283,4.719242,1.310233,0.029578,1.339810,2.410214,0.002052,2.412266,1.388922,0.030263,1.419185,1.783676,0.001942,1.785618,1.840827,0.023961,1.864788,2.007784,0.001887,2.009671
100024,0.440000,0.440000,0.400000,0.400000,0.360000,0.360000,0.560000,0.560000,0.440000,0.440000,0.440000,0.440000,0.440000,0.440000,0.440000,0.440000,0.520000,0.520000,0.520000,0.520000,1.721030,0.033425,1.754455,11.735693,0.002929,11.738622,1.369570,0.031116,1.400686,4.716971,0.002371,4.719342,1.310249,0.030714,1.340963,2.410229,0.002127,2.412357,1.388937,0.031419,1.420356,1.783690,0.002017,1.785707,1.840841,0.024894,1.865735,2.007798,0.001959,2.009758
100025,0.423077,0.423077,0.423077,0.423077,0.384615,0.384615,0.538462,0.538462,0.423077,0.423077,0.423077,0.423077,0.461538,0.461538,0.461538,0.461538,0.538462,0.538462,0.538462,0.538462,1.721054,0.034975,1.756030,11.735706,0.003049,11.738756,1.369590,0.032282,1.401872,4.716985,0.002465,4.719450,1.310271,0.031864,1.342136,2.410251,0.002212,2.412463,1.388956,0.032577,1.421533,1.783708,0.002091,1.785799,1.840863,0.025833,1.866696,2.007816,0.002033,2.009849
100026,0.444444,0.444444,0.444444,0.444444,0.370370,0.370370,0.555556,0.555556,0.407407,0.407407,0.407407,0.407407,0.444444,0.444444,0.444444,0.444444,0.555556,0.555556,0.555556,0.555556,1.721073,0.036198,1.757271,11.735717,0.003153,11.738870,1.369604,0.033439,1.403043,4.716997,0.002552,4.719549,1.310291,0.033012,1.343303,2.410268,0.002292,2.412560,1.388970,0.033709,1.422679,1.783722,0.002168,1.785891,1.840881,0.026766,1.867647,2.007841,0.002104,2.009945
100027,0.464286,0.464286,0.464286,0.464286,0.392857,0.392857,0.571429,0.571429,0.428571,0.428571,0.428571,0.428571,0.464286,0.464286,0.464286,0.464286,0.571429,0.571429,0.571429,0.571429,1.721094,0.037425,1.758519,11.735730,0.003256,11.738986,1.369622,0.034599,1.404221,4.717011,0.002640,4.719650,1.310312,0.034154,1.344465,2.410287,0.002370,2.412657,1.388988,0.035047,1.424035,1.783740,0.002257,1.785998,1.840899,0.027822,1.868722,2.007858,0.002189,2.010047
100028,0.448276,0.448276,0.448276,0.448276,0.413793,0.413793,0.586207,0.586207,0.448276,0.448276,0.448276,0.448276,0.482759,0.482759,0.448276,0.448276,0.586207,0.586207,0.586207,0.586207,1.721117,0.038653,1.759770,11.735741,0.003359,11.739100,1.369648,0.035774,1.405422,4.717024,0.002723,4.719747,1.310335,0.035319,1.345653,2.410305,0.002450,2.412754,1.389004,0.036214,1.425218,1.783756,0.002405,1.786161,1.840915,0.028873,1.869789,2.007879,0.002269,2.010147
100029,0.433333,0.433333,0.466667,0.466667,0.400000,0.400000,0.566667,0.566667,0.433333,0.433333,0.433333,0.433333,0.466667,0.466667,0.433333,0.433333,0.566667,0.566667,0.566667,0.566667,1.721135,0.039875,1.761010,11.735751,0.003463,11.739215,1.369662,0.036925,1.406587,4.717034,0.002813,4.719847,1.310352,0.036468,1.346820,2.410321,0.002526,2.412847,1.389019,0.037353,1.426371,1.783771,0.002478,1.786250,1.840933,0.029787,1.870720,2.007893,0.002340,2.010234
