# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_a.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 5] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=5, update_strategy='replace')
# [ensemble 10] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=10, update_strategy='replace')
# [ensemble 25] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=25, update_strategy='replace')
# [ensemble 50] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=50, update_strategy='replace')
# [ensemble 100] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=100, update_strategy='replace')
# [incremental] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='ensemblesize_sea_a.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 5],current_acc_[ensemble 5],mean_acc_[ensemble 10],current_acc_[ensemble 10],mean_acc_[ensemble 25],current_acc_[ensemble 25],mean_acc_[ensemble 50],current_acc_[ensemble 50],mean_acc_[ensemble 100],current_acc_[ensemble 100],mean_acc_[incremental],current_acc_[incremental],training_time_[ensemble 5],testing_time_[ensemble 5],total_running_time_[ensemble 5],training_time_[ensemble 10],testing_time_[ensemble 10],total_running_time_[ensemble 10],training_time_[ensemble 25],testing_time_[ensemble 25],total_running_time_[ensemble 25],training_time_[ensemble 50],testing_time_[ensemble 50],total_running_time_[ensemble 50],training_time_[ensemble 100],testing_time_[ensemble 100],total_running_time_[ensemble 100],training_time_[incremental],testing_time_[incremental],total_running_time_[incremental]
100024,0.800000,0.800000,0.840000,0.840000,0.880000,0.880000,0.840000,0.840000,0.840000,0.840000,0.800000,0.800000,1.304175,0.018051,1.322225,1.303155,0.020753,1.323909,1.331566,0.043725,1.375291,1.368261,0.085350,1.453611,1.498352,0.175291,1.673644,4.605812,0.003801,4.609613
100025,0.807692,0.807692,0.846154,0.846154,0.884615,0.884615,0.846154,0.846154,0.846154,0.846154,0.807692,0.807692,1.304197,0.018925,1.323122,1.303165,0.021464,1.324629,1.331574,0.046351,1.377925,1.368269,0.087611,1.455880,1.498360,0.179989,1.678349,4.605822,0.003914,4.609736
100026,0.814815,0.814815,0.851852,0.851852,0.888889,0.888889,0.851852,0.851852,0.851852,0.851852,0.814815,0.814815,1.304323,0.019454,1.323776,1.303499,0.023857,1.327355,1.331591,0.047709,1.379300,1.368278,0.090569,1.458848,1.498369,0.184927,1.683296,4.605832,0.004044,4.609876
100027,0.821429,0.821429,0.857143,0.857143,0.892857,0.892857,0.857143,0.857143,0.857143,0.857143,0.821429,0.821429,1.304346,0.019828,1.324174,1.303509,0.024312,1.327821,1.331601,0.048964,1.380564,1.368287,0.093674,1.461961,1.498378,0.192665,1.691042,4.605842,0.004261,4.610103
100028,0.827586,0.827586,0.862069,0.862069,0.896552,0.896552,0.862069,0.862069,0.862069,0.862069,0.827586,0.827586,1.304376,0.020320,1.324697,1.303521,0.025106,1.328627,1.331609,0.050254,1.381864,1.368295,0.099734,1.468028,1.498385,0.199665,1.698050,4.605852,0.004395,4.610247
100029,0.833333,0.833333,0.866667,0.866667,0.900000,0.900000,0.866667,0.866667,0.866667,0.866667,0.833333,0.833333,1.304398,0.020759,1.325157,1.303531,0.025759,1.329290,1.331618,0.052799,1.384417,1.368303,0.103895,1.472198,1.498393,0.205448,1.703842,4.605861,0.004519,4.610380
100030,0.838710,0.838710,0.870968,0.870968,0.903226,0.903226,0.870968,0.870968,0.870968,0.870968,0.838710,0.838710,1.304421,0.021702,1.326123,1.303542,0.028038,1.331580,1.331627,0.054290,1.385917,1.368312,0.106868,1.475179,1.498401,0.211684,1.710085,4.605871,0.005159,4.611030
100031,0.843750,0.843750,0.875000,0.875000,0.906250,0.906250,0.875000,0.875000,0.875000,0.875000,0.843750,0.843750,1.304443,0.022180,1.326623,1.303552,0.028570,1.332122,1.331635,0.055490,1.387125,1.368320,0.109862,1.478182,1.498409,0.218457,1.716866,4.605880,0.005290,4.611171
100032,0.848485,0.848485,0.878788,0.878788,0.909091,0.909091,0.878788,0.878788,0.878788,0.878788,0.848485,0.848485,1.304465,0.022606,1.327070,1.303564,0.029441,1.333005,1.331644,0.056650,1.388294,1.368327,0.113921,1.482248,1.498416,0.223351,1.721767,4.605889,0.005405,4.611294
100033,0.823529,0.823529,0.852941,0.852941,0.882353,0.882353,0.852941,0.852941,0.852941,0.852941,0.823529,0.823529,1.304486,0.022946,1.327432,1.303574,0.030190,1.333764,1.331652,0.057777,1.389430,1.368336,0.117313,1.485649,1.498424,0.228847,1.727271,4.605899,0.005537,4.611436
