# TEST CONFIGURATION BEGIN
# FileStream(filename='hyper_f.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 5] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=5, update_strategy='replace')
# [ensemble 10] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=10, update_strategy='replace')
# [ensemble 25] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=25, update_strategy='replace')
# [ensemble 50] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=50, update_strategy='replace')
# [ensemble 100] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=100, update_strategy='replace')
# [incremental] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='mwindow_hype_f.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 5],current_acc_[ensemble 5],mean_acc_[ensemble 10],current_acc_[ensemble 10],mean_acc_[ensemble 25],current_acc_[ensemble 25],mean_acc_[ensemble 50],current_acc_[ensemble 50],mean_acc_[ensemble 100],current_acc_[ensemble 100],mean_acc_[incremental],current_acc_[incremental],training_time_[ensemble 5],testing_time_[ensemble 5],total_running_time_[ensemble 5],training_time_[ensemble 10],testing_time_[ensemble 10],total_running_time_[ensemble 10],training_time_[ensemble 25],testing_time_[ensemble 25],total_running_time_[ensemble 25],training_time_[ensemble 50],testing_time_[ensemble 50],total_running_time_[ensemble 50],training_time_[ensemble 100],testing_time_[ensemble 100],total_running_time_[ensemble 100],training_time_[incremental],testing_time_[incremental],total_running_time_[incremental]
100039,0.900000,0.900000,0.875000,0.875000,0.825000,0.825000,0.800000,0.800000,0.850000,0.850000,0.825000,0.825000,1.354763,0.014583,1.369346,1.385777,0.019535,1.405312,1.380766,0.043225,1.423991,1.444075,0.084424,1.528499,1.548337,0.164381,1.712717,4.918405,0.004133,4.922538
100040,0.902439,0.902439,0.878049,0.878049,0.829268,0.829268,0.804878,0.804878,0.853659,0.853659,0.829268,0.829268,1.354780,0.014869,1.369650,1.385787,0.020023,1.405811,1.380775,0.044193,1.424969,1.444083,0.086487,1.530570,1.548345,0.168712,1.717057,4.918414,0.004235,4.922649
100041,0.904762,0.904762,0.880952,0.880952,0.833333,0.833333,0.809524,0.809524,0.857143,0.857143,0.833333,0.833333,1.354796,0.015163,1.369960,1.385796,0.020463,1.406259,1.380784,0.045185,1.425969,1.444090,0.088403,1.532494,1.548352,0.172465,1.720816,4.918421,0.004321,4.922742
100042,0.906977,0.906977,0.883721,0.883721,0.837209,0.837209,0.790698,0.790698,0.860465,0.860465,0.837209,0.837209,1.354813,0.015477,1.370290,1.385805,0.020949,1.406754,1.380791,0.046254,1.427045,1.444097,0.090285,1.534381,1.548358,0.176194,1.724552,4.918429,0.004404,4.922833
100043,0.909091,0.909091,0.886364,0.886364,0.840909,0.840909,0.795455,0.795455,0.863636,0.863636,0.840909,0.840909,1.354835,0.015944,1.370778,1.385815,0.021387,1.407202,1.380799,0.047248,1.428047,1.444104,0.092211,1.536315,1.548365,0.179977,1.728343,4.918438,0.004501,4.922939
100044,0.911111,0.911111,0.866667,0.866667,0.844444,0.844444,0.777778,0.777778,0.866667,0.866667,0.822222,0.822222,1.354858,0.016232,1.371090,1.385825,0.021829,1.407654,1.380807,0.048388,1.429195,1.444115,0.094268,1.538383,1.548372,0.184645,1.733018,4.918446,0.004620,4.923067
100045,0.913043,0.913043,0.869565,0.869565,0.847826,0.847826,0.782609,0.782609,0.869565,0.869565,0.826087,0.826087,1.354875,0.016524,1.371399,1.385833,0.022260,1.408093,1.380815,0.049370,1.430184,1.444122,0.096167,1.540289,1.548379,0.188463,1.736843,4.918455,0.004715,4.923169
100046,0.914894,0.914894,0.872340,0.872340,0.851064,0.851064,0.787234,0.787234,0.872340,0.872340,0.829787,0.829787,1.354895,0.016810,1.371705,1.385844,0.022693,1.408537,1.380824,0.050599,1.431423,1.444130,0.098485,1.542615,1.548387,0.192739,1.741127,4.918465,0.004818,4.923283
100047,0.916667,0.916667,0.875000,0.875000,0.854167,0.854167,0.791667,0.791667,0.875000,0.875000,0.833333,0.833333,1.354913,0.017118,1.372031,1.385853,0.023183,1.409035,1.380831,0.051702,1.432533,1.444138,0.100646,1.544784,1.548394,0.197211,1.745606,4.918473,0.004922,4.923396
100048,0.918367,0.918367,0.877551,0.877551,0.857143,0.857143,0.795918,0.795918,0.877551,0.877551,0.836735,0.836735,1.354930,0.017413,1.372344,1.385862,0.023628,1.409489,1.380839,0.052698,1.433536,1.444149,0.102594,1.546743,1.548403,0.201019,1.749422,4.918481,0.005009,4.923489
