# TEST CONFIGURATION BEGIN
# FileStream(filename='hyper_f.csv', target_idx=-1, n_targets=1, cat_features=None)
# [incremental] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1)
# [adwin] Adaptive5(learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='ensemblesize_sea_a.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[incremental],current_acc_[incremental],mean_acc_[adwin],current_acc_[adwin],training_time_[incremental],testing_time_[incremental],total_running_time_[incremental],training_time_[adwin],testing_time_[adwin],total_running_time_[adwin]
100087,0.863636,0.863636,0.840909,0.840909,22.855869,0.012538,22.868407,19.702199,0.008772,19.710971
100088,0.865169,0.865169,0.842697,0.842697,22.855887,0.012646,22.868533,19.702320,0.008860,19.711181
100089,0.866667,0.866667,0.844444,0.844444,22.855904,0.012751,22.868655,19.702455,0.008949,19.711404
100090,0.857143,0.857143,0.835165,0.835165,22.855921,0.012855,22.868776,19.702577,0.009035,19.711612
100091,0.858696,0.858696,0.836957,0.836957,22.855946,0.013098,22.869044,19.702833,0.009183,19.712016
100092,0.849462,0.849462,0.827957,0.827957,22.855969,0.013219,22.869187,19.702960,0.009288,19.712248
100093,0.851064,0.851064,0.829787,0.829787,22.855987,0.013346,22.869333,19.703109,0.009401,19.712509
100094,0.852632,0.852632,0.831579,0.831579,22.856006,0.013500,22.869507,19.703243,0.009513,19.712756
100095,0.854167,0.854167,0.833333,0.833333,22.856023,0.013619,22.869642,19.704433,0.009606,19.714039
100096,0.855670,0.855670,0.835052,0.835052,22.856040,0.013730,22.869770,19.704551,0.009692,19.714242
100097,0.857143,0.857143,0.836735,0.836735,22.856065,0.013945,22.870010,19.704716,0.009806,19.714522
100098,0.858586,0.858586,0.838384,0.838384,22.856083,0.014057,22.870140,19.704838,0.009897,19.714735
100099,0.860000,0.860000,0.840000,0.840000,22.856100,0.014160,22.870260,19.704993,0.009979,19.714972
100100,0.861386,0.861386,0.841584,0.841584,22.856117,0.014262,22.870379,19.705106,0.010064,19.715170
100101,0.862745,0.862745,0.843137,0.843137,22.856135,0.014382,22.870517,19.705252,0.010158,19.715411
100102,0.864078,0.864078,0.844660,0.844660,22.856153,0.014490,22.870642,19.705376,0.010249,19.715625
100103,0.865385,0.865385,0.846154,0.846154,22.856176,0.014689,22.870865,19.705543,0.010352,19.715895
100104,0.866667,0.866667,0.847619,0.847619,22.856195,0.014799,22.870994,19.705663,0.010439,19.716102
100105,0.867925,0.867925,0.849057,0.849057,22.856212,0.014907,22.871120,19.705794,0.010523,19.716317
100106,0.869159,0.869159,0.850467,0.850467,22.856232,0.015010,22.871243,19.705912,0.010607,19.716519
100107,0.870370,0.870370,0.851852,0.851852,22.856249,0.015115,22.871364,19.706079,0.010692,19.716771
100108,0.862385,0.862385,0.844037,0.844037,22.856266,0.015219,22.871484,19.706192,0.010777,19.716969
100109,0.863636,0.863636,0.845455,0.845455,22.856291,0.015467,22.871758,19.706388,0.010907,19.717295
100110,0.864865,0.864865,0.846847,0.846847,22.856346,0.015590,22.871937,19.706550,0.011022,19.717573
100111,0.857143,0.857143,0.848214,0.848214,22.856363,0.015708,22.872071,19.706708,0.011115,19.717824
100112,0.858407,0.858407,0.849558,0.849558,22.856381,0.015818,22.872199,19.706828,0.011204,19.718031
100113,0.859649,0.859649,0.850877,0.850877,22.856399,0.015923,22.872322,19.706959,0.011289,19.718248
100114,0.860870,0.860870,0.852174,0.852174,22.856419,0.016025,22.872444,19.707073,0.011373,19.718446
100115,0.862069,0.862069,0.853448,0.853448,22.856445,0.016258,22.872703,19.707284,0.011527,19.718811
100116,0.863248,0.863248,0.854701,0.854701,22.856467,0.016376,22.872843,19.707410,0.011615,19.719025
100117,0.864407,0.864407,0.855932,0.855932,22.856484,0.016484,22.872968,19.707550,0.011701,19.719250
100118,0.865546,0.865546,0.857143,0.857143,22.856502,0.016588,22.873090,19.707665,0.011785,19.719450
100119,0.866667,0.866667,0.850000,0.850000,22.856519,0.016693,22.873213,19.707815,0.011885,19.719700
100120,0.867769,0.867769,0.851240,0.851240,22.856537,0.016803,22.873339,19.707935,0.011972,19.719906
100121,0.868852,0.868852,0.852459,0.852459,22.856562,0.017031,22.873593,19.708109,0.012099,19.720208
100122,0.869919,0.869919,0.853659,0.853659,22.856584,0.017146,22.873731,19.708239,0.012192,19.720431
100123,0.870968,0.870968,0.854839,0.854839,22.856602,0.017255,22.873857,19.708427,0.012283,19.720710
100124,0.872000,0.872000,0.856000,0.856000,22.856619,0.017361,22.873980,19.708543,0.012367,19.720910
100125,0.873016,0.873016,0.857143,0.857143,22.856646,0.017466,22.874112,19.708674,0.012450,19.721124
100126,0.874016,0.874016,0.858268,0.858268,22.856664,0.017570,22.874234,19.708790,0.012533,19.721323
100127,0.875000,0.875000,0.859375,0.859375,22.856689,0.017783,22.874472,19.710032,0.012644,19.722677
100128,0.875969,0.875969,0.860465,0.860465,22.856707,0.017896,22.874604,19.710152,0.012733,19.722885
100129,0.869231,0.869231,0.853846,0.853846,22.856725,0.018001,22.874726,19.710284,0.012817,19.723100
100130,0.870229,0.870229,0.854962,0.854962,22.856744,0.018118,22.874862,19.710406,0.012908,19.723314
100131,0.871212,0.871212,0.856061,0.856061,22.856762,0.018229,22.874992,19.710563,0.012995,19.723557
100132,0.872180,0.872180,0.857143,0.857143,22.856784,0.018334,22.875118,19.710681,0.013079,19.723760
100133,0.873134,0.873134,0.858209,0.858209,22.856809,0.018546,22.875354,19.710842,0.013188,19.724029
100134,0.866667,0.866667,0.851852,0.851852,22.856827,0.018659,22.875487,19.710962,0.013276,19.724238
100135,0.867647,0.867647,0.852941,0.852941,22.856845,0.018765,22.875610,19.711105,0.013361,19.724466
100136,0.868613,0.868613,0.854015,0.854015,22.856862,0.018869,22.875731,19.711222,0.013445,19.724667
100137,0.869565,0.869565,0.855072,0.855072,22.856879,0.018973,22.875852,19.711357,0.013529,19.724886
100138,0.870504,0.870504,0.856115,0.856115,22.856896,0.019075,22.875972,19.711473,0.013615,19.725087
100139,0.871429,0.871429,0.857143,0.857143,22.856922,0.019305,22.876227,19.711686,0.013750,19.725436
100140,0.872340,0.872340,0.858156,0.858156,22.856942,0.019423,22.876365,19.711816,0.013839,19.725655
100141,0.866197,0.866197,0.852113,0.852113,22.856960,0.019535,22.876495,19.711952,0.013928,19.725880
100142,0.867133,0.867133,0.853147,0.853147,22.856978,0.019642,22.876620,19.712068,0.014013,19.726081
100143,0.868056,0.868056,0.854167,0.854167,22.856995,0.019750,22.876746,19.712212,0.014097,19.726308
100144,0.868966,0.868966,0.855172,0.855172,22.857013,0.019855,22.876868,19.712328,0.014182,19.726510
100145,0.863014,0.863014,0.849315,0.849315,22.857040,0.020065,22.877104,19.712487,0.014290,19.726777
100146,0.863946,0.863946,0.850340,0.850340,22.857059,0.020177,22.877236,19.712606,0.014376,19.726982
100147,0.864865,0.864865,0.851351,0.851351,22.857077,0.020282,22.877358,19.712767,0.014460,19.727227
100148,0.865772,0.865772,0.845638,0.845638,22.857094,0.020386,22.877480,19.712884,0.014545,19.727430
100149,0.866667,0.866667,0.846667,0.846667,22.857111,0.020490,22.877602,19.713017,0.014629,19.727646
100150,0.867550,0.867550,0.847682,0.847682,22.857129,0.020593,22.877722,19.713131,0.014715,19.727846
100151,0.861842,0.861842,0.842105,0.842105,22.857156,0.020842,22.877997,19.713320,0.014842,19.728162
100152,0.862745,0.862745,0.843137,0.843137,22.857183,0.020956,22.878139,19.713440,0.014930,19.728370
100153,0.863636,0.863636,0.844156,0.844156,22.857204,0.021060,22.878264,19.713571,0.015014,19.728584
100154,0.864516,0.864516,0.845161,0.845161,22.857224,0.021162,22.878386,19.713684,0.015096,19.728780
100155,0.858974,0.858974,0.839744,0.839744,22.857248,0.021263,22.878511,19.713900,0.015202,19.729101
100156,0.859873,0.859873,0.840764,0.840764,22.857265,0.021370,22.878635,19.714018,0.015286,19.729304
100157,0.854430,0.854430,0.835443,0.835443,22.857294,0.021614,22.878908,19.714196,0.015478,19.729674
100158,0.849057,0.849057,0.830189,0.830189,22.857313,0.021729,22.879042,19.714320,0.015566,19.729887
100159,0.850000,0.850000,0.831250,0.831250,22.857330,0.021837,22.879167,19.715533,0.015653,19.731186
100160,0.844720,0.844720,0.826087,0.826087,22.857348,0.021947,22.879295,19.715648,0.015738,19.731386
100161,0.845679,0.845679,0.827160,0.827160,22.857366,0.022052,22.879417,19.715779,0.015822,19.731601
100162,0.846626,0.846626,0.828221,0.828221,22.857383,0.022157,22.879540,19.715895,0.015907,19.731801
100163,0.847561,0.847561,0.829268,0.829268,22.857413,0.022637,22.880050,19.716126,0.016094,19.732220
100164,0.848485,0.848485,0.830303,0.830303,22.857433,0.022755,22.880188,19.716254,0.016201,19.732455
100165,0.849398,0.849398,0.831325,0.831325,22.857452,0.022872,22.880324,19.716397,0.016306,19.732702
100166,0.850299,0.850299,0.832335,0.832335,22.857471,0.022981,22.880452,19.716525,0.016399,19.732923
100167,0.851190,0.851190,0.833333,0.833333,22.857489,0.023095,22.880584,19.716679,0.016498,19.733177
100168,0.846154,0.846154,0.828402,0.828402,22.857507,0.023195,22.880702,19.716807,0.016591,19.733397
100169,0.847059,0.847059,0.829412,0.829412,22.857539,0.023437,22.880976,19.716996,0.016761,19.733756
100170,0.847953,0.847953,0.830409,0.830409,22.857560,0.023583,22.881142,19.717138,0.016877,19.734015
100171,0.843023,0.843023,0.825581,0.825581,22.857579,0.023707,22.881286,19.717329,0.016978,19.734307
100172,0.838150,0.838150,0.820809,0.820809,22.857600,0.023833,22.881433,19.717454,0.017088,19.734543
100173,0.839080,0.839080,0.821839,0.821839,22.857618,0.023941,22.881559,19.717587,0.017173,19.734760
100174,0.840000,0.840000,0.822857,0.822857,22.857636,0.024043,22.881679,19.717701,0.017257,19.734958
100175,0.840909,0.840909,0.823864,0.823864,22.857664,0.024273,22.881937,19.717886,0.017377,19.735263
100176,0.841808,0.841808,0.824859,0.824859,22.857685,0.024390,22.882074,19.718013,0.017469,19.735481
100177,0.842697,0.842697,0.825843,0.825843,22.857706,0.024520,22.882226,19.718200,0.017595,19.735795
100178,0.843575,0.843575,0.826816,0.826816,22.857724,0.024630,22.882354,19.718318,0.017680,19.735998
100179,0.844444,0.844444,0.827778,0.827778,22.857743,0.024736,22.882479,19.718473,0.017764,19.736237
100180,0.845304,0.845304,0.828729,0.828729,22.857764,0.024839,22.882603,19.718589,0.017846,19.736435
100181,0.846154,0.846154,0.829670,0.829670,22.857795,0.025092,22.882887,19.718777,0.017976,19.736753
100182,0.846995,0.846995,0.830601,0.830601,22.857818,0.025270,22.883089,19.718950,0.018087,19.737036
100183,0.847826,0.847826,0.831522,0.831522,22.857841,0.025433,22.883274,19.719134,0.018192,19.737326
100184,0.848649,0.848649,0.832432,0.832432,22.857866,0.025559,22.883425,19.719265,0.018298,19.737563
100185,0.849462,0.849462,0.833333,0.833333,22.857882,0.025661,22.883544,19.719404,0.018397,19.737801
100186,0.850267,0.850267,0.834225,0.834225,22.857901,0.025770,22.883670,19.719521,0.018481,19.738002
100187,0.851064,0.851064,0.835106,0.835106,22.857930,0.026013,22.883943,19.719742,0.018611,19.738353
100188,0.851852,0.851852,0.835979,0.835979,22.857949,0.026127,22.884077,19.719863,0.018701,19.738563
100189,0.852632,0.852632,0.836842,0.836842,22.857967,0.026233,22.884200,19.719996,0.018785,19.738780
100190,0.848168,0.848168,0.832461,0.832461,22.857985,0.026335,22.884320,19.720112,0.018873,19.738985
100191,0.843750,0.843750,0.828125,0.828125,22.858005,0.026444,22.884448,19.721538,0.018995,19.740532
100192,0.844560,0.844560,0.829016,0.829016,22.858024,0.026558,22.884582,19.721663,0.019085,19.740748
100193,0.845361,0.845361,0.829897,0.829897,22.858051,0.026789,22.884839,19.721833,0.019202,19.741034
100194,0.846154,0.846154,0.830769,0.830769,22.858072,0.026920,22.884991,19.721962,0.019297,19.741258
100195,0.846939,0.846939,0.831633,0.831633,22.858099,0.027095,22.885194,19.722156,0.019433,19.741589
100196,0.847716,0.847716,0.832487,0.832487,22.858127,0.027619,22.885746,19.722314,0.019575,19.741889
100197,0.843434,0.843434,0.828283,0.828283,22.858167,0.028187,22.886354,19.722548,0.019784,19.742332
100198,0.844221,0.844221,0.829146,0.829146,22.858188,0.028336,22.886524,19.722692,0.019904,19.742597
100199,0.845000,0.845000,0.830000,0.830000,22.858217,0.028640,22.886857,19.722897,0.020063,19.742959
100200,0.845771,0.845000,0.830846,0.835000,22.858238,0.028786,22.887024,19.723041,0.020185,19.743226
100201,0.846535,0.845000,0.831683,0.835000,22.858260,0.028934,22.887193,19.723224,0.020305,19.743529
100202,0.842365,0.840000,0.827586,0.830000,22.858280,0.029069,22.887349,19.723364,0.020412,19.743776
100203,0.843137,0.840000,0.828431,0.830000,22.858299,0.029201,22.887500,19.723581,0.020508,19.744089
100204,0.843902,0.840000,0.829268,0.830000,22.858318,0.029336,22.887654,19.723715,0.020614,19.744329
100205,0.844660,0.840000,0.830097,0.835000,22.858360,0.029606,22.887966,19.723957,0.020742,19.744699
100206,0.845411,0.840000,0.830918,0.835000,22.858381,0.029755,22.888136,19.724099,0.020862,19.744960
100207,0.846154,0.840000,0.831731,0.835000,22.858404,0.029889,22.888293,19.724281,0.020991,19.745272
100208,0.842105,0.835000,0.827751,0.830000,22.858424,0.030026,22.888450,19.724420,0.021106,19.745527
100209,0.842857,0.835000,0.828571,0.830000,22.858443,0.030150,22.888593,19.724572,0.021215,19.745787
100210,0.843602,0.840000,0.829384,0.830000,22.858465,0.030277,22.888741,19.724703,0.021317,19.746020
100211,0.844340,0.840000,0.830189,0.830000,22.858494,0.030516,22.889010,19.724916,0.021457,19.746372
100212,0.840376,0.835000,0.826291,0.825000,22.858515,0.030660,22.889175,19.725069,0.021563,19.746631
100213,0.841121,0.835000,0.827103,0.825000,22.858535,0.030789,22.889324,19.725223,0.021672,19.746895
100214,0.841860,0.835000,0.827907,0.825000,22.858555,0.030955,22.889510,19.725409,0.021784,19.747193
100215,0.842593,0.835000,0.828704,0.825000,22.858577,0.031099,22.889677,19.725596,0.021914,19.747509
100216,0.843318,0.840000,0.829493,0.825000,22.858598,0.031231,22.889829,19.725734,0.022027,19.747760
100217,0.844037,0.845000,0.830275,0.825000,22.858628,0.031456,22.890084,19.725905,0.022146,19.748050
100218,0.844749,0.845000,0.831050,0.825000,22.858652,0.031601,22.890254,19.726052,0.022264,19.748316
100219,0.845455,0.845000,0.831818,0.830000,22.858674,0.031728,22.890402,19.726273,0.022359,19.748632
100220,0.846154,0.850000,0.832579,0.835000,22.858695,0.031857,22.890552,19.726411,0.022471,19.748882
100221,0.846847,0.850000,0.833333,0.835000,22.858715,0.031983,22.890698,19.726694,0.022571,19.749264
100222,0.847534,0.850000,0.834081,0.835000,22.858735,0.032118,22.890853,19.726831,0.022674,19.749504
100223,0.848214,0.850000,0.834821,0.835000,22.858764,0.032363,22.891127,19.728208,0.022799,19.751008
100224,0.848889,0.850000,0.835556,0.835000,22.858785,0.032486,22.891270,19.728355,0.022920,19.751275
100225,0.845133,0.850000,0.831858,0.835000,22.858806,0.032598,22.891404,19.728528,0.023020,19.751548
100226,0.845815,0.850000,0.832599,0.840000,22.858825,0.032717,22.891542,19.728656,0.023114,19.751770
100227,0.846491,0.850000,0.833333,0.840000,22.858845,0.032820,22.891665,19.728825,0.023215,19.752040
100228,0.842795,0.845000,0.829694,0.835000,22.858865,0.032944,22.891809,19.728953,0.023313,19.752266
100229,0.843478,0.845000,0.830435,0.835000,22.858895,0.033184,22.892079,19.729123,0.023437,19.752560
100230,0.844156,0.845000,0.831169,0.835000,22.858918,0.033318,22.892236,19.729264,0.023539,19.752802
100231,0.844828,0.845000,0.831897,0.835000,22.858937,0.033436,22.892374,19.729416,0.023633,19.753049
100232,0.845494,0.845000,0.832618,0.835000,22.858961,0.033571,22.892532,19.729554,0.023734,19.753288
100233,0.846154,0.845000,0.833333,0.835000,22.858981,0.033688,22.892669,19.729709,0.023825,19.753534
100234,0.842553,0.845000,0.829787,0.835000,22.859001,0.033802,22.892803,19.729840,0.023922,19.753762
100235,0.838983,0.840000,0.826271,0.830000,22.859029,0.034045,22.893074,19.730060,0.024049,19.754109
100236,0.839662,0.840000,0.827004,0.830000,22.859051,0.034162,22.893213,19.730190,0.024140,19.754330
100237,0.840336,0.840000,0.827731,0.830000,22.859070,0.034270,22.893340,19.730322,0.024226,19.754549
100238,0.841004,0.840000,0.828452,0.830000,22.859088,0.034372,22.893460,19.730438,0.024312,19.754749
100239,0.841667,0.845000,0.829167,0.835000,22.859107,0.034482,22.893589,19.730604,0.024470,19.755073
100240,0.842324,0.845000,0.829876,0.835000,22.859126,0.034597,22.893723,19.730728,0.024562,19.755290
100241,0.838843,0.840000,0.826446,0.830000,22.859154,0.034821,22.893975,19.730899,0.024683,19.755582
